Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;378730,0009;354096,79;93,4958385
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;238301,0321;220340,39;92,46304479
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;833312,7574;814404,74;97,73098189
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;422229,8031;471562,38;111,6838216
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DULOXX;371479,2281;355391,92;95,66939229
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ETKINIA ;248013,425;235329,44;94,88576677
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;GYREX;861387,2491;900399,08;104,5289538
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SAYFREN;83367,66798;65287,28;78,31247003
100115;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SECITA 15mg ;461877,4654;484049,09;104,8003261
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;444678,5867;435560,13;97,94942753
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;178217,6152;164334,3;92,20990855
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;828990,05;885861,52;106,860332
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;301224,0639;302623,48;100,4645765
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DULOXX;438098,8874;471404,18;107,6022317
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ETKINIA ;185734,0416;154324,08;83,08874275
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;GYREX;856996,2655;916573,06;106,9518149
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SAYFREN;80583,74805;62436,05;77,47970467
100268;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SECITA 15mg ;330171,4166;319402,94;96,73851943
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;736604,0397;671552,72;91,16875333
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;293282,2374;301074,45;102,6568989
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;1273895,424;1327847,19;104,2351801
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;493819,9209;453053,44;91,74466659
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DULOXX;723864,8277;710984,15;98,22056865
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ETKINIA ;305806,6223;299631,14;97,98059235
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;GYREX;1314562,245;1339320,97;101,8834197
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SAYFREN;158763,2951;159517,08;100,4747854
100295;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SECITA 15mg ;541032,8678;455915,93;84,26769558
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;251399,0245;228641,49;90,94764409
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;152811,4938;153371,23;100,3662919
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;658383,1307;727413,21;110,4847886
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;225101,0634;267148,27;118,6792572
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DULOXX;247634,2371;231474,09;93,47418707
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ETKINIA ;159222,4731;149224,29;93,72062068
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;GYREX;682653,541;816534,31;119,6118178
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SAYFREN;68109,54562;62018,24;91,05660511
100297;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SECITA 15mg ;246850,8665;292423,79;118,4617231
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;403383,4415;373615,83;92,62051725
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;199821,8906;184791,43;92,47807105
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;822966,1585;853858,68;103,7538022
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;390433,0876;453001,92;116,0254944
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DULOXX;396443,8725;434272,95;109,5421017
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ETKINIA ;207855,1823;202365,58;97,35892932
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;GYREX;852889,039;923125,67;108,2351429
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SAYFREN;102556,4999;149120,33;145,4030999
100311;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SECITA 15mg ;427737,4699;480511,49;112,3379465
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;503522,2406;471560,42;93,65235177
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;263629,464;266138,77;100,9518306
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;962277,2322;916957,59;95,29037572
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;391006,2953;359974,62;92,06363793
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DULOXX;495195,9015;456897,99;92,26610895
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ETKINIA ;276314,775;260311,02;94,20814359
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;GYREX;995377,9181;971642,69;97,61545563
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SAYFREN;115034,4909;88660,85;77,07327541
100319;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SECITA 15mg ;429000,761;360464,68;84,02425188
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;506858,7863;448376,36;88,46179096
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;217974,3844;165101,19;75,74339088
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;1106120,062;1025544,91;92,71551479
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;452234,4533;376915,9;83,34524211
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DULOXX;501041,2636;453122,25;90,43611433
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ETKINIA ;227539,791;150850,31;66,29623299
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;GYREX;1148128,585;1057372,01;92,09526039
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SAYFREN;120195,1143;92111,62;76,63507834
100586;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;SECITA 15mg ;496219,2908;383886,93;77,36235514
100659;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DULOXX;542688,2681;461227,13;84,98933128
100659;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ETKINIA ;229108,2129;162622,52;70,98065929
100659;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;GYREX;1087721,834;969990,72;89,17635828
100659;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;SECITA 15mg ;477544,3357;408525,43;85,54712086
